Time,pH,mCa,mTIC,mCO3,rdiss,Omega
337.5,9.73217,8.43682e-05,0.000113597,2.29316e-05,2.70293e-07,0.584271
339,9.73269,8.44712e-05,0.000113801,2.29943e-05,2.68789e-07,0.586583
340.5,9.73319,8.45726e-05,0.000114003,2.30565e-05,2.67299e-07,0.588875
342,9.73368,8.46724e-05,0.000114204,2.31181e-05,2.65823e-07,0.591146
343.5,9.73417,8.47708e-05,0.000114404,2.31792e-05,2.6436e-07,0.593395
345,9.73464,8.48676e-05,0.000114602,2.32397e-05,2.62911e-07,0.595624
346.5,9.73511,8.4963e-05,0.000114798,2.32996e-05,2.61475e-07,0.597832
348,9.73558,8.50569e-05,0.000114994,2.33591e-05,2.60053e-07,0.600019
349.5,9.73603,8.51494e-05,0.000115187,2.34179e-05,2.58644e-07,0.602186
351,9.73648,8.52405e-05,0.00011538,2.34763e-05,2.57249e-07,0.604332
352.5,9.73692,8.53301e-05,0.000115571,2.35341e-05,2.55867e-07,0.606458
354,9.73735,8.54183e-05,0.000115761,2.35915e-05,2.54498e-07,0.608563
355.5,9.73777,8.55052e-05,0.000115949,2.36482e-05,2.53142e-07,0.610649
357,9.73819,8.55907e-05,0.000116136,2.37045e-05,2.51799e-07,0.612714
358.5,9.7386,8.56748e-05,0.000116322,2.37603e-05,2.50469e-07,0.61476
360,9.739,8.57576e-05,0.000116507,2.38156e-05,2.49152e-07,0.616785
361.5,9.7394,8.5839e-05,0.00011669,2.38704e-05,2.47848e-07,0.618791
363,9.73979,8.59192e-05,0.000116872,2.39246e-05,2.46556e-07,0.620777
364.5,9.74017,8.5998e-05,0.000117053,2.39784e-05,2.45278e-07,0.622744
366,9.74054,8.60756e-05,0.000117232,2.40317e-05,2.44012e-07,0.624691
367.5,9.74091,8.61519e-05,0.000117411,2.40845e-05,2.42758e-07,0.626619
369,9.74128,8.6227e-05,0.000117588,2.41369e-05,2.41517e-07,0.628528
370.5,9.74163,8.63008e-05,0.000117763,2.41888e-05,2.40288e-07,0.630418
372,9.74198,8.63734e-05,0.000117938,2.42402e-05,2.39072e-07,0.632289
373.5,9.74233,8.64447e-05,0.000118112,2.42911e-05,2.37867e-07,0.634141
375,9.74266,8.65149e-05,0.000118284,2.43416e-05,2.36675e-07,0.635974
376.5,9.743,8.65839e-05,0.000118455,2.43916e-05,2.35495e-07,0.637789
378,9.74332,8.66517e-05,0.000118625,2.44411e-05,2.34327e-07,0.639586
379.5,9.74364,8.67184e-05,0.000118794,2.44903e-05,2.33171e-07,0.641365
381,9.74396,8.67839e-05,0.000118962,2.45389e-05,2.32026e-07,0.643125
382.5,9.74426,8.68483e-05,0.000119128,2.45872e-05,2.30893e-07,0.644867
384,9.74457,8.69116e-05,0.000119294,2.4635e-05,2.29772e-07,0.646592
